part_number,manufacture
348611,SCANIA
0348694,SCANIA
0348764,SCANIA
0348875,SCANIA
0348907,SCANIA
0348993,SCANIA
0349034,SCANIA
0349173,SCANIA
0349214,SCANIA
0349219,SCANIA
0349253,SCANIA
0349254,SCANIA
0349346,SCANIA
0349405,SCANIA
0349576,SCANIA
0349578,SCANIA
349703,SCANIA
0349725,SCANIA
0349727,SCANIA
0350000,SCANIA
0350001,SCANIA
0350063,SCANIA
0350270,SCANIA
0350340,SCANIA
0350405,SCANIA
0350419,SCANIA
0350420,SCANIA
0350421,SCANIA
0350438,SCANIA
0350483,SCANIA
0350484,SCANIA
0350572,SCANIA
0350984,SCANIA
0351197,SCANIA
0351351,SCANIA
0351352,SCANIA
0352211,SCANIA
0352304,SCANIA
0352347,SCANIA
0352517,SCANIA
352525,SCANIA
0352531,SCANIA
0352635,SCANIA
0352637,SCANIA
0352645,SCANIA
0352646,SCANIA
0352750,SCANIA
352907,SCANIA
0352908,SCANIA
0353158,SCANIA
0353174,SCANIA
0353394,SCANIA
0353445,SCANIA
0353546,SCANIA
0353592,SCANIA
0353621,SCANIA
0353623,SCANIA
0353624,SCANIA
0353625,SCANIA
0353626,SCANIA
0353627,SCANIA
0353628,SCANIA
0353632,SCANIA
0353639,SCANIA
0353646,SCANIA
0353684,SCANIA
0353843,SCANIA
0354334,SCANIA
0354611,SCANIA
